CODIGO_PROYECTO,N,SUBDIRECCION,PROGRAMA_CONICYT,INSTRUMENTO,NOMBRE_CONCURSO,AÑO_CONCURSO,AÑO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA MINCIENCIA (segUn ax),REGION_EJECUCION,MONTO ADJUDICADO (MILES $),M$_SINFO_NOSOLICITA
ECPI170012,29807,NO APLICA,EXPLORA,CAMPAMENTOS DE EDUCACION EN CIENCIAS,I CONCURSO DE CAMPAMENTOS DE EDUCACION EN CIENCIAS EXPLORA 2018,2018,2017,CAMPAMENTO DE EDUCACION EN CIENCIAS EXPLORA ANTOFAGASTA 2018,MULTIDISCIPLINARIO,OTRAS ESPECIALIDADES DE LA EDUCACION,NO APLICA,12,PERSONA JURIDICA,GLADYS HAYASHIDA SOIZA,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,60000,
EQM180024,31802,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,VII CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2018,2018,"GENERADOR DE NITROGENO LIQUIDO, COMO ACCESORIO PARA EL REGISTRO DE LOS ESPECTROS DE DIFRACCION A 100 KELVIN EN UN MODERNO DIFRACTOMETRO DE MONOCRISTALES CON RADIACION DUAL Y CON DETECTOR CMOS",CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,NO APLICA,18,PERSONA JURIDICA,IVAN BRITO BOBADILLA,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,"66200,46",
EQM180120,31814,CENTROS,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,VII CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2018,2018,ADQUISICION DE UN MICROSCOPIO CONFOCAL ESPECTRAL PARA EL FOMENTO E INCREMENTO DE LA PRODUCTIVIDAD CIENTIFICA EN EL AREA DE LA BIOLOGIA CELULAR EN LA REGION DE TARAPACA,CIENCIAS NATURALES,BIOLOGIA CELULAR,NO APLICA,18,PERSONA JURIDICA,RICARDO TEJOS ULLOA,HOMBRE,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,"210524,9",
CAS17002,31852,REC,ASTRONOMIA,FONDO CHINA - CHILE - CAS,Concurso CHINA-CHILE en astronomIa cuarta convocatoria,2018,2018,NATURE OR NURTURE?UNDERSTANDING GALAXY EVOLUTION FROM THE INTERPLAY OF GALAXIES WITH THEIR ENVIRONMENT,CIENCIAS NATURALES,,NO APLICA,24,PERSONA NATURAL,MARIA ARGUDO,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,55936,
ID18I10095,31901,INVESTIGACION APLICADA,FONDEF,IDeA - CA,IDeA - CA Bases 2295/2018 Primera Convocatoria,2018,2018,DESARROLLO DE UN HIDROLIZADO PROTEICO EN BASE A MICROALGAS MARINAS PARA EL MEJORAMIENTO DE LOS SUSTRATO EN ZONAS DESERTICAS,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,JAZMIN BAZAES DONOSO,MUJER,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,191062,
ID18I10127,31906,INVESTIGACION APLICADA,FONDEF,IDeA - CA,IDeA - CA Bases 2295/2018 Primera Convocatoria,2018,2018,DESARROLLO DE UN ALIMENTO EXTRUIDO CON HARINA DE MACROALGAS PARA ESTIMULAR EL CRECIMIENTO DE JUVENILES DE ERIZO ROJO (LOXECHINUS ALBUS) DESTINADOS A LA REPOBLACION EN AMERBS DE LA REGION DE LOS LAGOS Y MAGALLANES,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,ANDRES MANSILLA MUÃ‘OZ,HOMBRE,UNIVERSIDAD DE MAGALLANES,NORTE,01. TARAPACA,200000,
ID18I10205,31915,INVESTIGACION APLICADA,FONDEF,IDeA - CA,IDeA - CA Bases 2295/2018 Primera Convocatoria,2018,2018,IMPLEMENTACION DE UN SISTEMA DE SUMINISTRO DE LARVAS COMPETENTES DE CONCHOLEPAS CONCHOLEPAS DESDE HATCHERY PARA EL ASENTAMIENTO Y OBTENCION DE SEMILLAS EN AREAS DE MANEJO.,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,MARIO LODY CORTES,HOMBRE,UNIVERSIDAD DE ANTOFAGASTA,NORTE,02. ANTOFAGASTA,194750,
ID18I10292,31934,INVESTIGACION APLICADA,FONDEF,IDeA - CA,IDeA - CA Bases 2295/2018 Primera Convocatoria,2018,2018,ESTABLECIMIENTO DE PLANTEL DE REPRODUCTORES PARA OBTENCION DE OVAS Y LARVAS DE ACHA (MEDIALUNA ANCIETAE) PARA LA DIVERSIFICACION ACUICOLA DE LA ZONA NORTE DEL PAIS,CIENCIAS NATURALES,PESCA Y ACUICULTURA,NO APLICA,24,PERSONA JURIDICA,GERMAN BUENO GALAZ,HOMBRE,UNIVERSIDAD ARTURO PRAT,NORTE,01. TARAPACA,199600,
11180015,31992,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,FONDECYT de IniciaciOn 2018,2018,2018,MARINE SEDIMENT QUALITY IN ATACAMA (MASEQATA),CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES,CS. DE LA TIERRA,36,PERSONA NATURAL,ESTEFANIA BONNAIL MIGUEL,MUJER,UNIVERSIDAD DE ATACAMA,NORTE,03. ATACAMA,87665,
11180044,32001,PROYECTOS DE INVESTIGACION,FONDECYT,INICIACION,FONDECYT de IniciaciOn 2018,2018,2018,"MODALIDADES Y PRACTICAS EVALUATIVAS EMPLEADAS POR LOS DOCENTES DE HISTORIA, GEOGRAFIA Y CIENCIAS SOCIALES, EN LOS ESTABLECIMIENTOS PUBLICOS DE ENSEÃ‘ANZA MEDIA CON ALTOS INDICES DE VULNERABILIDAD, EN REGION DE FRONTERA.",CIENCIAS SOCIALES,OTRAS ESPECIALIDADES DE LA EDUCACION,EDUCACION,SIN INFORMACION,PERSONA NATURAL,RAUL BUSTOS GONZALEZ,HOMBRE,UNIVERSIDAD DE TARAPACA,NORTE,15. ARICA Y PARINACOTA,51301,
