REGION_DE_EJECUCION,TIPO_DE_INSTITUCION,SUBDIRECCION,AÑO_DE_FALLO,PROGRAMA,INSTRUMENTO,NOMBRE_DEL_CONCURSO,MONTO_TOTAL_ADJUDICADO_(M$),ESTADO_RESOLUCION_CONCURSO,DISCIPLINA_OECD,TIPO_DE_BENEFICIARIO,SEXO,MACRO_ZONA
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,NO ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,FUERA DE BASES,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,NO ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
15. ARICA Y PARINACOTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,HUMANIDADES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,HOMBRE,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
03. ATACAMA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,SE IDENTIFICA AL CIERRE DE LA BECA,ADJUDICADO,CIENCIAS NATURALES,PERSONA NATURAL,MUJER,NORTE
02. ANTOFAGASTA,UNIVERSIDAD,CAPITAL HUMANO,2016,PFCHA,CONICYT NACIONAL - DOCTORADO,DOCTORADO NACIONAL 2016,$-,FUERA DE BASES,INGENIERIA Y TECNOLOGIA,PERSONA NATURAL,HOMBRE,NORTE
